date,city,pax
2015-11-01,TUTICORIN,7652.0
2015-11-01,UDAIPUR,79632.0
2015-11-01,VADODARA,83610.0
2015-11-01,VARANASI,142019.0
2015-11-01,VIJAYAWADA,32433.0
2015-11-01,VISAKHAPATNAM,138215.0
2015-12-01,AGARTALA,86061.0
2015-12-01,AGATTI ISLAND,1719.0
2015-12-01,AGRA,1282.0
2015-12-01,AHMEDABAD,517777.0
2015-12-01,AIZAWL,12416.0
2015-12-01,AMRITSAR,86113.0
2015-12-01,AURANGABAD,26933.0
2015-12-01,BAGDOGRA,101678.0
2015-12-01,BELGAUM,12858.0
2015-12-01,BENGALURU,1423332.0
2015-12-01,BHAVNAGAR,3440.0
2015-12-01,BHOPAL,67235.0
2015-12-01,BHUBANESWAR,175496.0
2015-12-01,BHUJ,13932.0
2015-12-01,CHANDIGARH,117401.0
2015-12-01,CHENNAI,707667.0
2015-12-01,COCHIN,26186.0
2015-12-01,COIMBATORE,130697.0
2015-12-01,DEHRADUN,33571.0
2015-12-01,DELHI,3164230.0
2015-12-01,DHARAMSALA,6751.0
2015-12-01,DIBRUGARH,28314.0
2015-12-01,DIMAPUR,12085.0
2015-12-01,DIU,3670.0
2015-12-01,DURGAPUR,806.0
2015-12-01,GAYA,7752.0
2015-12-01,GOA,467019.0
2015-12-01,GUWAHATI,256789.0
2015-12-01,GWALIOR,270.0
2015-12-01,HUBLI,4786.0
2015-12-01,HYDERABAD,898655.0
2015-12-01,IMPHAL,68910.0
2015-12-01,INDORE,152429.0
2015-12-01,JABALPUR,3254.0
2015-12-01,JAIPUR,241633.0
2015-12-01,JAMMU,102526.0
2015-12-01,JAMNAGAR,8464.0
2015-12-01,JODHPUR,27372.0
2015-12-01,JORHAT,4338.0
2015-12-01,KHAJURAHO,7225.0
2015-12-01,KOCHI,274586.0
2015-12-01,KOLKATA,983105.0
2015-12-01,KOZHIKODE,33228.0
2015-12-01,KULLU,1563.0
2015-12-01,LEH,15700.0
2015-12-01,LILABARI,426.0
2015-12-01,LUCKNOW,230544.0
2015-12-01,MADURAI,48201.0
2015-12-01,MANGALURU,82588.0
2015-12-01,MUMBAI,2750851.0
2015-12-01,NAGPUR,147213.0
2015-12-01,PANTNAGAR,566.0
2015-12-01,PATNA,129647.0
2015-12-01,PORBANDAR,1445.0
2015-12-01,PORT BLAIR,74175.0
2015-12-01,PRAYAGRAJ,3727.0
2015-12-01,PUNE,455198.0
2015-12-01,RAIPUR,112096.0
2015-12-01,RAJAHMUNDRY,21707.0
2015-12-01,RAJKOT,38357.0
2015-12-01,RANCHI,71125.0
2015-12-01,SHILLONG,476.0
2015-12-01,SILCHAR,16133.0
2015-12-01,SRINAGAR,164438.0
2015-12-01,SURAT,12328.0
2015-12-01,TEZPUR,354.0
2015-12-01,THIRUVANANTHAPURAM,106300.0
2015-12-01,TIRUCHIRAPPALLI,9745.0
2015-12-01,TIRUPATI,35709.0
2015-12-01,TUTICORIN,6593.0
2015-12-01,UDAIPUR,88401.0
2015-12-01,VADODARA,90163.0
2015-12-01,VARANASI,137483.0
2015-12-01,VIJAYAWADA,34188.0
