date,market,pax,a,b,is_imputed,is_covid,pax_a_to_b,pax_b_to_a
2015-06-01,MUMBAI – NAGPUR,53600.0,MUMBAI,NAGPUR,False,False,26135.0,27465.0
2015-06-01,INDORE – MUMBAI,58973.0,INDORE,MUMBAI,False,False,31148.0,27825.0
2015-06-01,DELHI – NAGPUR,28090.0,DELHI,NAGPUR,False,False,15204.0,12886.0
2015-06-01,BENGALURU – GUWAHATI,9231.0,BENGALURU,GUWAHATI,False,False,4322.0,4909.0
2015-06-01,HYDERABAD – KOCHI,21626.0,HYDERABAD,KOCHI,False,False,10125.0,11501.0
2015-06-01,BENGALURU – JAIPUR,40825.0,BENGALURU,JAIPUR,False,False,19709.0,21116.0
2015-06-01,HYDERABAD – PUNE,19940.0,HYDERABAD,PUNE,False,False,10232.0,9708.0
2015-06-01,BENGALURU – THIRUVANANTHAPURAM,28554.0,BENGALURU,THIRUVANANTHAPURAM,False,False,13755.0,14799.0
2015-06-01,DELHI – UDAIPUR,14524.0,DELHI,UDAIPUR,False,False,7600.0,6924.0
2015-06-01,DELHI – JAMMU,53610.0,DELHI,JAMMU,False,False,31471.0,22139.0
2015-06-01,CHENNAI – KOCHI,34047.0,CHENNAI,KOCHI,False,False,16619.0,17428.0
2015-06-01,HYDERABAD – TIRUPATI,21295.0,HYDERABAD,TIRUPATI,False,False,10940.0,10355.0
2015-07-01,DELHI – MUMBAI,470102.0,DELHI,MUMBAI,False,False,234464.0,235638.0
2015-07-01,BENGALURU – DELHI,281767.0,BENGALURU,DELHI,False,False,140822.0,140945.0
2015-07-01,BENGALURU – MUMBAI,260069.0,BENGALURU,MUMBAI,False,False,129383.0,130686.0
2015-07-01,DELHI – HYDERABAD,174234.0,DELHI,HYDERABAD,False,False,87482.0,86752.0
2015-07-01,DELHI – KOLKATA,154597.0,DELHI,KOLKATA,False,False,78585.0,76012.0
2015-07-01,DELHI – PUNE,147241.0,DELHI,PUNE,False,False,72835.0,74406.0
2015-07-01,AHMEDABAD – DELHI,94778.0,AHMEDABAD,DELHI,False,False,46875.0,47903.0
2015-07-01,CHENNAI – MUMBAI,170592.0,CHENNAI,MUMBAI,False,False,83907.0,86685.0
2015-07-01,KOLKATA – MUMBAI,121919.0,KOLKATA,MUMBAI,False,False,59607.0,62312.0
2015-07-01,HYDERABAD – MUMBAI,158657.0,HYDERABAD,MUMBAI,False,False,75183.0,83474.0
2015-07-01,CHENNAI – DELHI,171268.0,CHENNAI,DELHI,False,False,82873.0,88395.0
2015-07-01,BENGALURU – HYDERABAD,88754.0,BENGALURU,HYDERABAD,False,False,44190.0,44564.0
2015-07-01,BENGALURU – KOLKATA,71761.0,BENGALURU,KOLKATA,False,False,36917.0,34844.0
2015-07-01,AHMEDABAD – MUMBAI,153627.0,AHMEDABAD,MUMBAI,False,False,77364.0,76263.0
2015-07-01,DELHI – SRINAGAR,132304.0,DELHI,SRINAGAR,False,False,62591.0,69713.0
2015-07-01,BENGALURU – PUNE,101835.0,BENGALURU,PUNE,False,False,50316.0,51519.0
2015-07-01,DELHI – GUWAHATI,69262.0,DELHI,GUWAHATI,False,False,35136.0,34126.0
2015-07-01,DELHI – PATNA,80703.0,DELHI,PATNA,False,False,40231.0,40472.0
2015-07-01,BENGALURU – CHENNAI,65999.0,BENGALURU,CHENNAI,False,False,32863.0,33136.0
2015-07-01,DELHI – LUCKNOW,120269.0,DELHI,LUCKNOW,False,False,58925.0,61344.0
2015-07-01,CHENNAI – HYDERABAD,70771.0,CHENNAI,HYDERABAD,False,False,35120.0,35651.0
2015-07-01,BENGALURU – KOCHI,66924.0,BENGALURU,KOCHI,False,False,34274.0,32650.0
2015-07-01,KOCHI – MUMBAI,83927.0,KOCHI,MUMBAI,False,False,39097.0,44830.0
2015-07-01,BAGDOGRA – DELHI,43636.0,BAGDOGRA,DELHI,False,False,24167.0,19469.0
2015-07-01,BHUBANESWAR – DELHI,47540.0,BHUBANESWAR,DELHI,False,False,23238.0,24302.0
